Class,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
0,0.089777,3.595483,-5.633363,-0.834363,1.743436,-0.363504,-0.62844,-6.981904,-2.044786,0.6975,4.812184,2.346136,2.526946,0.674899
0,-0.158837,1.752225,-2.701478,-0.56817,0.17516,2.111334,0.570682,-7.254375,-1.158314,-0.839385,2.526946,1.015173,3.193683,1.334102
0,0.205295,1.82254,0.35597,0.761537,0.804228,5.810406,2.230618,-7.197872,-2.336091,-4.075132,-1.056609,0.992572,0.833107,0.850686
0,2.112589,5.733813,0.60835,2.258242,1.651775,7.039663,6.071576,-5.36717,-3.657009,-5.848075,-3.672076,0.460187,-5.516589,-1.875276
0,4.139169,9.64383,-0.019462,3.53019,2.386316,4.209484,7.992682,-1.057864,-3.276554,-3.899344,-5.429951,-3.252697,-10.488865,-4.478187
0,3.867954,8.904266,0.173904,3.830285,3.520145,0.544314,4.834785,4.07262,-1.13948,0.711312,-7.181549,-8.222462,-9.19306,-4.723034
0,0.678665,2.166581,0.403684,1.639219,2.717801,-0.216595,0.79795,7.491688,1.914201,3.896833,-6.645397,-8.660675,-3.216284,-2.96767
0,-3.187405,-6.941724,0.273098,-2.44533,-1.644241,1.141991,1.341636,7.749091,4.32249,2.928746,-1.930524,-3.384538,2.436541,-0.661087
0,-4.470654,-11.335157,0.589516,-4.743124,-5.704933,1.410695,4.368948,5.237841,4.16177,-0.162603,3.258975,1.739669,4.573615,1.074187
0,-2.377526,-7.515545,0.917234,-3.236374,-5.059542,0.308256,3.937013,2.218062,1.725857,-1.314012,3.857909,2.289633,2.975204,1.276343
0,0.102333,-1.060376,-0.06592,-0.791672,-1.558859,-0.121168,0.006906,1.254997,0.084755,0.344669,0.997594,0.712567,0.091033,0.004395
0,-0.344669,-0.058387,-1.512401,-0.555614,0.630952,-0.101078,-2.38506,2.176626,0.750236,2.02344,-0.377315,0.671132,-0.17516,-0.742702
0,-2.9074,-3.81145,-1.134457,-1.114367,1.88281,-1.562626,-2.033485,1.783616,1.241186,1.517423,0.578215,1.637963,3.213773,0.707545
0,-3.69091,-4.606261,0.689966,0.070943,3.817729,-3.677099,-2.759236,-1.654286,-0.310767,-0.011928,0.987549,1.994561,6.217228,2.935024
0,-1.125668,-0.113634,1.044052,1.556347,3.738624,-3.713512,-5.984938,-5.201428,-1.437063,0.028252,0.693733,2.273309,4.999272,3.242652
0,2.200483,3.999794,-0.691222,0.81804,-0.399917,-2.170348,-8.272687,-5.075865,0.080988,1.930524,2.059853,2.657531,1.256253,1.602806
0,3.562837,4.308678,-1.712045,-0.538035,-3.86042,-2.145236,-6.99446,-2.318512,1.403161,3.012873,4.26222,1.959403,-1.207284,0.268076
0,3.207495,3.953336,-0.52799,0.457675,-1.806217,-3.448575,-3.545258,-1.302711,-0.833107,1.086744,3.778804,1.051586,-2.174115,0.101078
0,2.533224,4.944024,0.804228,2.42524,1.924246,-2.362459,0.058387,-3.040497,-4.204461,-2.426496,0.42754,2.316001,-3.328035,-0.072198
0,1.774826,4.311189,0.652297,1.928013,0.868265,1.926757,3.527679,-3.718534,-4.028674,-4.210739,-2.234385,4.200694,-4.122845,-0.877054
0,0.741447,0.79795,0.411217,-0.323323,-2.854664,5.363403,6.087899,-0.743958,-0.760281,-3.22884,-2.543269,1.956892,-3.341847,-1.560114
0,-0.217851,-1.812495,1.130691,-0.800461,-2.161559,4.879987,5.770226,3.098255,1.432041,-1.218584,-2.346136,-4.34258,-1.82254,-1.590249
0,-0.941091,-1.190961,1.206028,0.633463,2.672598,2.282099,2.83583,3.756203,1.384327,0.343414,-2.901122,-8.354303,-0.509156,-1.216073
0,-1.472221,-0.197761,-0.147536,0.957414,4.309934,0.883332,0.983782,1.804961,1.011406,1.26002,-3.133413,-6.538668,0.96997,-0.691222
0,-1.272576,-1.374282,-0.701267,-0.510412,0.177671,1.391861,2.931257,1.23993,0.683688,1.138224,-2.298422,-3.024173,1.901644,-0.283143
0,-0.325835,-3.13718,0.635974,-1.612851,-4.029929,2.392594,6.531135,3.295388,-0.313278,-0.239197,-1.109345,-2.392594,0.771582,-0.466465
0,-0.392383,-3.722301,1.174637,-1.578949,-3.242652,2.653764,7.313389,4.746891,-0.505389,-1.457153,-0.042063,-2.941302,-0.961181,-1.045308
0,-2.482999,-3.852886,-0.716334,-1.487288,0.835619,1.876532,3.778804,2.957625,1.600294,-1.126924,1.011406,-1.087999,-0.313278,-0.993827
0,-4.070109,-3.653242,-2.06362,-1.266298,3.528935,0.309512,-1.686933,-0.28691,3.83154,-0.132468,1.703256,2.127657,1.649264,0.008162
0,-2.165326,-1.535002,-0.57696,-0.119912,2.719056,-2.221829,-6.60145,-1.846397,3.291622,0.686199,1.939313,3.651986,1.659309,1.121901
0,1.837608,2.380038,0.579471,1.021451,-0.296955,-6.678043,-10.847974,-2.034741,0.864498,3.081932,2.724079,4.155492,1.173382,2.041019
0,4.156747,5.679821,-1.642986,0.976249,-2.668831,-12.13499,-14.476731,-3.533957,-1.370515,7.457786,4.188138,6.09041,3.939524,3.339335
0,4.21325,6.964325,-3.776293,0.82934,-2.387571,-13.082987,-14.854674,-6.307633,-4.097733,8.741035,4.163025,8.145869,7.084865,4.363926
0,3.835307,6.116778,-1.148269,1.678143,-0.242963,-4.237107,-8.584082,-6.74208,-7.389982,2.136446,1.130691,6.808628,3.635663,3.001572
